species	Size	Trophy	t0-0-a	t0-0-b	t0-0-c	tfin-2-a	tfin-9-a	tfin-9-b	tfin-9-c	tfin-2-b	tfin-2-c	tfin-6-a	tfin-6-b	tfin-6-c
timepoint	timepoint	timepoint	t0	t0	t0	tfin	tfin	tfin	tfin	tfin	tfin	tfin	tfin	tfin
Pyramimonadales_XX_sp.	uncategorized	photo	2	0	20	13	0	0	0	3	0	13	17	13
Rhizosolenia_imbricata_var_shrubsolei	micro	photo	0	0	0	0	0	0	0	34	0	0	0	0
Scrippsiella_acuminata	micro	const_mixo	114	74	85	7	31	14	3	10	5	7	10	13
Skeletonema_marinoi	nano	photo	34	8	17	24	53	108	47	23	21	36	61	40
Stephanoecidae_Group_D_X_sp.	uncategorized	hetero	11	8	10	620	116	882	216	687	576	924	677	322
Stephanoecidae_Group_H_X_sp.	uncategorized	hetero	31	19	22	731	0	0	0	633	496	57	107	26
Stramenopiles_XXXXX_sp.	uncategorized	hetero	0	0	1	0	0	0	0	0	0	72	66	43
Strobilidiidae_A_X_sp.	uncategorized	hetero	12	13	9	159	0	0	0	141	67	125	34	23
Strombidiida_B_XX_sp.	uncategorized	hetero	0	0	3	6	0	0	0	0	28	0	0	0
Strombidiida_F_XX_sp.	uncategorized	hetero	8	6	26	81	2	4	0	77	35	41	84	34
Strombidiidae_H_X_sp.	uncategorized	hetero	0	3	1	107	0	11	0	76	96	5	0	0
Strombidiidae_M_X_sp.	uncategorized	hetero	102	0	22	277	0	0	1	137	233	153	160	100
Strombidinopsis_sp.	uncategorized	hetero	0	0	0	55	0	0	0	0	39	176	75	137
Strombidium_capitatum	micro	hetero	0	0	0	0	0	312	2	0	0	0	0	26
TAGIRI1-lineage_X_sp.	uncategorized	hetero	1046	763	964	520	46	42	32	809	526	368	234	111
Teleaulax_gracilis	nano	mixo	69	38	60	135	3	9	0	80	119	39	51	37
Telonemia-Group-1_X_sp.	uncategorized	uncategorized	56	37	72	188	9	15	1	275	276	988	1268	731
Thalassiosira_antarctica	nano	photo	542	179	487	1171	311	180	144	527	881	1006	1068	226
Thalassiosira_concaviuscula	uncategorized	photo	16	14	21	0	110	114	97	4	7	12	15	19
Thalassiosira_hispida	uncategorized	photo	36	32	27	3	163	116	67	0	6	31	16	32
Thalassiosira_nordenskioeldii	nano	photo	1194	312	659	8035	9895	12808	6547	5554	9116	3188	6187	1706
Thalassiosira_rotula	micro	photo	1120	422	979	189	5917	8032	9429	52	295	1165	1369	667
Ventricleftida_XX_sp.	uncategorized	hetero	0	1	0	0	0	0	0	6	0	59	84	99
Not_identified	uncategorized	uncategorized	1763	1146	2054	2153	1669	2735	1130	1762	2194	2261	2163	2208
