tfin-2-a tfin-9-a tfin-9-b tfin-9-c tfin-2-b tfin-2-c tfin-6-a tfin-6-b tfin-6-c
ASV_0026 2.25269928560907 3.24914837059022 4.56427531468455 4.5782359906805 1.99612267318129 2.22199179069814 2.13890130208622 1.59470199955614 1.28935912302794
ASV_0027 1.71940080599102 3.59577297867545 2.78604785167507 3.79165480347446 1.92712980169433 1.37931287616723 3.7832772658816 3.54358391900061 3.7594506870308
ASV_0028 2.67140962046726 2.97094504209299 3.97703346047419 3.89907505209529 1.26907394094566 2.32735230635597 1.5511146371841 1.09079681863472 2.66827337685021
ASV_0029 3.66531095504634 3.40737237580512 3.35026134885912 2.90582327908501 3.75398059073366 3.60480788744171 3.15654452822067 3.21656243198879 3.42595907854773
ASV_0030 2.65371004336786 5.70629222340087 5.60396453035581 6.56681752970941 2.72205967656422 2.47792516483534 3.2845385293992 3.39338191162876 3.04620232714977
ASV_0031 1.82703147018339 -0.999346871459137 -2.46380620669207 -1.90534634620681 1.66297822665275 1.72951530560035 1.66444332249111 1.24986151326441 0.898492814340933
ASV_0032 3.21841490081075 -2.12185732319062 -2.46380620669207 -1.90534634620681 2.80705288939761 3.02049948691591 3.03271917810832 3.19156112978338 2.59928050536326
ASV_0033 2.57960207121414 2.97094504209299 3.8683996194714 3.61139297964351 1.36751401375891 2.19382091373145 1.35266369846027 0.667939967814685 2.50793072677503
ASV_0034 3.61196497434104 3.40737237580512 3.12482158528456 3.02360631474139 3.60556058561539 3.55479746686705 3.05962663102824 3.19577166231972 3.30426214357021
ASV_0035 -3.1881689137771 -2.12185732319062 -2.46380620669207 -1.90534634620681 -2.09822188904081 -2.05467432831791 0.857967456624158 1.81784555087035 1.05883546441611
ASV_0036 3.37329048099596 -2.12185732319062 -2.46380620669207 -1.90534634620681 3.15405153900581 3.19759909972872 3.09441274711366 3.13514704050328 3.09087476720136
ASV_0037 1.43171873353924 4.4343751320951 4.54223585511826 4.76601990986629 1.07983194130713 1.27753018185729 2.1929685233565 2.15431778749156 2.4634789642042
